ID,"City Name, State",Lat,Long
0,"Baltimore, MD",39.283333, -76.616667
1,"Birmingham, AL",33.653333,-86.808889
2,"Boise City, ID",43.613611,-116.203333
3,"Boston, MA",42.358056,-71.063611
4,"Boulder-Longmont, CO",40.171667,-105.109167
5,"Cape Coral-Fort Myers, FL",26.58,-81.92
6,"Charlotte-Gastonia-Rock Hill, SC",35.23,-80.84
7,"Chicago-Gary-Lake, IL",41.9,-87.65
8,"Columbus, OH",39.983333,-82.983333
9,"Dallas-Fort Worth, TX",32.782778,-96.803889
10,"Dayton-Springfield, OH",39.926944,-83.804167
11,"Detroit, MI",42.331389,-83.045833
12,"Houston-Brazoria, TX",29.17,-95.44
13,"Indianapolis, IN",39.791,-86.148
14,"Lakeland-Winterhaven, FL",28.033333,-81.716667
15,"Los Angeles-Long Beach, CA",34.05,-118.25
16,"Louisville, KY/IN",38.25,-85.766667
17,"Miami-Hialeah, FL",25.787778,-80.224167
18,"Nashville, TN",36.166667,-86.783333
19,New York-Northeastern NJ,43,-75
20,"Raleigh-Durham, NC",35.818889,-78.644722
21,"Richmond-Petersburg, VA",37.540972,-77.432889
22,"Riverside-San Bernardino, CA",34.1,-117.3
23,"San Francisco-Oakland-Vallejo, CA",37.783333,-122.416667
24,"Washington, DC/MD/VA",38.895111,-77.036667